Category,Flagged Type,Flagged ID,Comments,Created At
Bad GPS data,Activity,2433971933,just walking and got a 2:01min/km pace on third km. 26min/km pace overall for 3.5km. unrealistic,"9 Jun 2019, 12:14:46"
Activity was in a vehicle,Activity,1336854505,"climbed into a car after 6km, after which pace is around 1:30min/km. unrealistic","9 Jun 2019, 12:22:33"
Wrong activity type,Activity,1474831765,"this was a cycle, not a run","4 May 2020, 07:14:26"
Wrong activity type,Activity,457774112,"cycle, not a run","4 May 2020, 07:19:21"
Wrong activity type,Activity,3295099012,"cycle, not a run","4 May 2020, 07:22:13"
Bad GPS data,Activity,1534913965,pace of 1min/km is impossible,"4 May 2020, 07:24:37"
Bad GPS data,Activity,530495031,bad gps data. less than half of segment was completed,"4 May 2020, 07:27:18"
Wrong activity type,Activity,1995943292,"cycle, not a run","4 May 2020, 16:05:28"
Wrong activity type,Activity,1995943292,"cycle, not a run","4 May 2020, 16:16:07"
Wrong activity type,Activity,1303938176,"cycle, not a run","4 May 2020, 16:18:08"
Wrong activity type,Activity,110938339,this is a swim segment and he was paddling,"5 Mar 2021, 16:40:31"
Wrong activity type,Activity,105119777,paddling on a segment meant for swimming,"9 Mar 2021, 06:57:36"
Wrong activity type,Activity,105119802,paddling on a swimming segment,"10 Mar 2021, 06:26:30"
Bad GPS data,Activity,4929971519,"bad gps data. first 2km are at 1:30 pace, which is impossible","6 May 2021, 18:03:24"
Bad GPS data,Activity,1430363601,"GPS jumped some 20km, probably from his home..","6 May 2021, 18:05:07"
Bad GPS data,Activity,5120102726,2:00 run pace on a 20% incline is impossible,"8 May 2021, 13:31:31"
