seconds,power
1,762
2,759
3,759.3333333333334
4,748
5,739.6
6,731
7,727.4285714285714
8,723.125
9,715.3333333333334
10,704
11,691.9090909090909
12,679.1666666666666
13,661.4615384615385
14,644.5
15,629.2
16,610.6875
17,590.7647058823529
18,574.8888888888889
19,555.4736842105264
20,535.45
21,524.0952380952381
22,516.5909090909091
23,509.3478260869565
24,506.625
25,499.68
26,495.61538461538464
27,491.1111111111111
28,488.2857142857143
29,485.7931034482759
30,483.56666666666666
31,481.4516129032258
32,479.1875
33,477.1515151515151
34,475.2647058823529
35,472.42857142857144
36,469.25
37,466.4864864864865
38,464.2631578947368
39,462.1025641025641
40,459.45
41,456.4146341463415
42,453.8333333333333
43,450.27906976744185
44,447.20454545454544
45,445.22222222222223
46,443
47,440.97872340425533
48,439.4375
49,437.8775510204082
50,436.72
51,435.4901960784314
52,434.63461538461536
53,433.58490566037733
54,432.48148148148147
55,431.5090909090909
56,430.55357142857144
57,429.4736842105263
58,428.51724137931035
59,427.5762711864407
60,426.81666666666666
61,425.62295081967216
62,424.7258064516129
63,423.9047619047619
64,422.765625
65,421.7076923076923
66,420.5
67,419.46268656716416
68,418.38235294117646
69,417.3333333333333
70,415.84285714285716
71,414.5211267605634
72,413.4583333333333
73,412.54794520547944
74,411.6621621621622
75,410.94666666666666
76,410.14473684210526
77,409.45454545454544
78,408.5128205128205
79,408
80,407.525
81,406.87654320987656
82,406.0487804878049
83,405.26506024096386
84,404.3809523809524
85,403.6470588235294
86,402.8139534883721
87,401.97701149425285
88,401.25
89,400.5168539325843
90,399.73333333333335
91,398.9230769230769
92,398.20652173913044
93,397.44086021505376
94,396.67021276595744
95,395.87368421052633
96,395.28125
97,394.50515463917526
98,393.8979591836735
99,393.5050505050505
100,392.86
101,391.8019801980198
102,390.79411764705884
103,390.0485436893204
104,389.22115384615387
105,388.23809523809524
106,387.4433962264151
107,386.49532710280374
108,385.5833333333333
109,384.6697247706422
110,384.1
111,383.4684684684685
112,382.80357142857144
113,382.30973451327435
114,381.57894736842104
115,380.82608695652175
116,380.0086206896552
117,379.28205128205127
118,378.6694915254237
119,378.1764705882353
120,377.75
121,377.3884297520661
122,377.12295081967216
123,376.5772357723577
124,376.28225806451616
125,375.912
126,375.57142857142856
127,375.1102362204724
128,374.59375
129,374.26356589147287
130,374.1307692307692
131,373.5038167938931
132,373.09090909090907
133,372.7368421052632
134,372.4029850746269
135,372.14074074074074
136,371.8602941176471
137,371.57664233576645
138,371.18840579710144
139,370.8848920863309
140,370.64285714285717
141,370.3758865248227
142,370.01408450704224
143,369.6643356643357
144,369.375
145,368.86206896551727
146,368.4657534246575
147,368.1292517006803
148,367.8445945945946
149,367.63758389261744
150,367.3933333333333
151,367.0860927152318
152,366.7763157894737
153,366.52941176470586
154,366.25324675324674
155,365.9741935483871
156,365.56410256410254
157,365.171974522293
158,364.86708860759495
159,364.41509433962267
160,364.0625
161,363.639751552795
162,363.1604938271605
163,362.74233128834356
164,362.640243902439
165,362.3272727272727
166,362.144578313253
167,361.8922155688623
168,361.70238095238096
169,361.49704142011836
170,361.2176470588235
171,361.05847953216374
172,360.90697674418607
173,360.70520231213874
174,360.47701149425285
175,360.2628571428571
176,360.0511363636364
177,359.99435028248587
178,359.82022471910113
179,359.63128491620114
180,359.3611111111111
181,359.0939226519337
182,359.2637362637363
183,359.1967213114754
184,359.7826086956522
185,360.5189189189189
186,361.2903225806452
187,361.8181818181818
188,362.2659574468085
189,362.58730158730157
190,362.92105263157896
191,363.26178010471205
192,363.6770833333333
193,364.4818652849741
194,364.9020618556701
195,364.4974358974359
196,364.1224489795918
197,364.07106598984774
198,363.9141414141414
199,363.76884422110555
200,363.595
201,363.37810945273634
202,363.1287128712871
203,362.92118226600985
204,362.7156862745098
205,362.42926829268293
206,362.2330097087379
207,361.92270531400965
208,361.5625
209,361.2200956937799
210,360.8619047619048
211,360.4265402843602
212,360.0660377358491
213,359.7136150234742
214,359.3457943925234
215,358.95813953488374
216,358.5
217,358.0921658986175
218,357.6834862385321
219,357.3013698630137
220,356.95
221,356.6289592760181
222,356.2567567567568
223,355.7713004484305
224,355.51339285714283
225,355.35555555555555
226,355.0486725663717
227,354.74449339207047
228,354.5131578947368
229,354.29694323144105
230,354.1304347826087
231,353.8874458874459
232,353.5948275862069
233,353.24463519313304
234,353
235,352.7574468085106
236,352.47457627118644
237,352.1856540084388
238,351.8613445378151
239,351.5690376569038
240,351.37083333333334
241,351.0995850622407
242,350.79338842975204
243,350.559670781893
244,350.2950819672131
245,350.1387755102041
246,349.8780487804878
247,349.3927125506073
248,349.27016129032256
249,349.0160642570281
250,348.64
251,348.49003984063745
252,348.32142857142856
253,348.1660079051383
254,347.9803149606299
255,347.7372549019608
256,347.53125
257,347.41634241245134
258,347.3255813953488
259,347.2895752895753
260,347.2692307692308
261,347.18390804597703
262,347.09541984732823
263,347.00380228136885
264,346.9166666666667
265,346.8754716981132
266,346.7368421052632
267,346.63295880149815
268,346.52985074626866
269,346.47955390334573
270,346.35555555555555
271,346.29151291512915
272,346.18382352941177
273,346.1208791208791
274,346.09124087591243
275,345.9927272727273
276,345.9021739130435
277,345.86281588447656
278,345.73741007194246
279,345.673835125448
280,345.6
281,345.4982206405694
282,345.32978723404256
283,345.20494699646645
284,345.07394366197184
285,344.9438596491228
286,344.8356643356643
287,344.8327526132404
288,344.62847222222223
289,344.3771626297578
290,344.2655172413793
291,344.16838487972507
292,344.08561643835617
293,343.99658703071674
294,343.90816326530614
295,343.84406779661015
296,343.7905405405405
297,343.8922558922559
298,344.03355704697987
299,344.3745819397993
300,344.3066666666667
