intervals,power,hr,cadence
0.016666666666666666,762,191,127
0.08333333333333333,739.6,191,115.4
0.25,629.2,191,112.26666666666667
1,426.81666666666666,184.91666666666666,97.13333333333334
2,377.75,166.01666666666668,92.89166666666667
3,359.3611111111111,163.78333333333333,91.90555555555555
4,351.37083333333334,163.58333333333334,91.54166666666667
5,344.3066666666667,163.58333333333334,91.39666666666666
10,321.005,162.77,89.42666666666666
15,310.76666666666665,162.02777777777777,87.32444444444444
20,304.5941666666667,161.57166666666666,86.16833333333334
30,295.18111111111114,161.50277777777777,83.78333333333333
